ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	167	0.631094968656263	1.4082621378315445	1e-10	1.4834883720930233e-8	9.517747858017138e-9	9205	tags=67%, list=25%, signal=51%	56104/56134/5098/4680/26025/56102/56103/56111/83872/56107/1048/3688/1012/56099/56106/56101/8832/56138/56137/56128/79633/8641/56098/999/2195/56135/1829/120114/56114/8642/56123/56097/56105/27253/56110/6091/56144/55714/56113/5291/56112/1823/1009/6092/54510/1000/56108/1824/5099/64084/133418/25945/56100/56146/9708/56145/5979/56139/27020/56124/56125/3897/56132/5101/91624/5797/57526/23022/634/56126/56131/56142/23705/57575/1004/56109/1006/9620/152330/57463/347902/10205/5097/56122/56136/29930/11122/54798/1951/5365/1952/5175/56130/9499/9752/56143/26167/1003/1005/56140/253559/221935/56121/147409/57717/56133/54825/22883/56127/5310/60437/1016
GO:0000725	recombinational repair	194	0.6154277343232175	1.3788909619928342	1e-10	1.4834883720930233e-8	9.517747858017138e-9	11142	tags=70%, list=30%, signal=49%	254225/5965/5980/92797/7158/675/23347/55183/253714/55010/196528/2073/25836/4171/10721/80010/57697/472/2072/672/4683/641/80311/84296/22909/10097/11073/10635/10111/2187/63979/2074/23137/29072/8295/26122/55159/55719/254394/54799/84250/5885/7486/23503/79677/55345/7516/79728/25939/86/57634/54537/1387/151987/348654/57599/8317/4361/1111/6502/58493/84515/642636/158880/8438/8914/4175/54617/84893/64710/84464/1457/51444/5932/4173/54556/23613/55218/115004/51750/80314/7520/22891/3364/3980/28990/57162/29128/157777/25/142/6117/23126/9643/55086/27336/11144/7334/8089/10213/10933/113510/7528/5888/55693/64859/5347/7156/56893/112441434/92070/4172/79000/83695/10902/64769/25788/9025/10524/5892/5890/23514/2547/493861/254528/119392/5889/23028/6421/55317/8318/56160/2237/116028/5893
GO:0000075	cell cycle checkpoint signaling	203	0.6139052990966182	1.3783771805588327	1e-10	1.4834883720930233e-8	9.517747858017138e-9	7813	tags=59%, list=21%, signal=47%	57082/57551/324/7158/144455/701/51360/675/5781/5591/83990/9575/23376/60561/1063/472/545/7175/63967/7272/672/699/4683/641/163859/83666/11073/79184/83903/7508/10111/1112/151636/2074/580/51514/55159/1763/51776/51347/8899/10116/9735/84142/26058/3619/1432/1386/4436/4085/55055/440275/8555/79968/57646/988/2177/990/51322/4998/90381/348654/9675/4361/1111/58493/144715/54908/8914/9183/1407/25896/4067/5629/595/5932/84072/116224/220134/4193/9656/5810/221150/56155/983/3364/55143/10388/8451/900/80185/835/5527/83540/5884/10403/54465/8883/51512/9319/10769/54888/11329/1017/891/51143/8720/261726/9184/80254/5888/11130/146956/64859/54962/29980/5347/55755/7756/57405
GO:0000724	double-strand break repair via homologous recombination	188	0.6157555325476081	1.3780814039400362	1e-10	1.4834883720930233e-8	9.517747858017138e-9	11142	tags=69%, list=30%, signal=49%	254225/5965/5980/92797/7158/675/23347/55183/253714/55010/196528/2073/25836/4171/10721/80010/57697/472/2072/672/4683/641/80311/84296/22909/10097/11073/10635/10111/2187/63979/2074/23137/29072/8295/26122/55159/55719/254394/54799/84250/5885/7486/23503/79677/7516/79728/25939/86/57634/54537/1387/151987/348654/57599/8317/4361/1111/6502/58493/84515/642636/158880/8438/8914/4175/54617/84893/64710/84464/1457/51444/5932/4173/54556/23613/55218/115004/51750/80314/22891/3364/3980/28990/57162/29128/157777/25/142/6117/23126/9643/55086/27336/11144/7334/8089/10213/10933/113510/7528/5888/55693/64859/5347/7156/56893/112441434/4172/79000/10902/64769/25788/9025/10524/5892/5890/23514/493861/254528/119392/5889/23028/6421/55317/8318/56160/2237/116028/5893
GO:0048193	Golgi vesicle transport	306	0.6057288167436703	1.3718244008362075	1e-10	1.4834883720930233e-8	9.517747858017138e-9	10624	tags=67%, list=29%, signal=48%	9632/56907/57533/7109/54832/23033/120892/10564/122553/10802/51479/23074/2803/9648/6102/9871/4644/10640/22878/9515/9321/60561/9980/23230/8452/51125/10079/10466/50807/10484/9135/55614/23499/10427/6653/134957/9581/8615/164/4430/11196/80055/60684/84068/27252/3998/23041/8773/27032/10483/5584/50999/55770/1315/11031/2181/63971/4253/57511/51290/23233/22796/51014/6711/10434/286451/9276/83452/10525/9522/117177/27072/54536/55435/288/64145/1314/64764/55014/80262/372/6272/149371/22872/51552/81555/6683/163882/2060/51026/261729/399687/375056/51542/6643/9554/55297/6293/8548/54520/10890/9527/5870/64083/26958/51594/3064/10959/11236/9217/80006/9183/9950/57120/9919/4905/8729/55207/143187/55763/83548/9117/5537/55062/10016/84984/8774/59349/10972/7405/55204/23256/5587/4218/3638/5861/51128/57222/8613/146456/378/286/23760/8766/150786/26286/23299/100128327/583/84272/10490/374868/60412/1523/377/30845/56681/65258/10228/9382/23062/10342/5877/7805/9341/7415/6399/9218/22820/113419/63932/6836/128637/6642/57020/84084/29934/9570/9265/11014/10133/2801/123720/55973/8724/90196/1176/222068/11015/10239/114815/26984/29959/83696/6845/8943/2619/23163/84342/10282/1785/582/3996/29097/5034
GO:0016358	dendrite development	239	0.6029584065463138	1.3585229881571192	1e-10	1.4834883720930233e-8	9.517747858017138e-9	11138	tags=68%, list=30%, signal=48%	3688/120892/9856/6792/8499/4205/26115/57498/4734/5592/80243/120114/9231/5597/9693/9201/55619/23271/6801/57520/5789/7804/50807/80312/170506/55236/23345/7337/2932/10611/54664/1982/5911/23043/4076/8609/10371/5062/4131/7779/7436/54149/2332/27067/8829/22849/116443/91137/4130/8301/4139/10642/22903/4891/221692/2043/653464/5048/8976/5530/27185/1399/5063/7074/547/57118/23011/10006/1630/8851/10160/26259/5802/23191/1902/23613/56896/23072/4038/84079/5663/1136/29904/1398/1608/5728/22891/23242/22906/9922/10152/1996/23181/10498/158866/5649/26052/382/378/9912/1141/25/4208/4133/23098/351/3066/54942/1600/26037/1139/585/1523/998/10507/26039/4204/1952/2048/2861/7162/8322/8550/473/50944/577/221935/65981/57580/51473/23327/144165/23380/26050/3251/57626/1501/11141/22871/6383/4168/124925/238/84879/8831/2146/50488/64689/23105/10013/4693/100528062/7533/1826/84816/582/4147/815/153090/11178/4135/114788/2534
GO:0007059	chromosome segregation	427	0.5958510799521302	1.3563083637143087	1e-10	1.4834883720930233e-8	9.517747858017138e-9	10518	tags=65%, list=28%, signal=47%	10051/10274/9134/8239/57082/9928/259266/1894/324/10592/7153/157570/701/2491/1062/6491/79884/9113/8243/4288/64682/83990/79598/81930/56916/196528/10735/55193/25836/8850/64151/8452/81610/1654/57520/1063/472/283489/7175/9126/9897/7272/5925/151246/672/699/140609/56992/10097/81624/55125/9787/163786/3832/24137/23122/23411/23063/54801/83903/3796/1778/8658/29127/256006/27229/8467/23137/9493/29899/284071/26271/7150/54892/51776/8899/55839/55142/7155/9735/9525/55732/7273/27436/6732/23310/84142/9611/5885/6599/2908/101928601/157313/3619/9031/6601/9371/9874/26054/79677/54627/126731/23332/56159/23397/57492/23369/151648/6595/4085/55055/996/140710/55706/86/8289/64105/8697/25978/9698/2177/8678/55166/990/1060/22974/348654/10096/3837/285643/81027/5359/4361/4751/23172/10783/6790/192670/642636/10664/54908/9183/91687/22919/56852/54617/79441/7013/64793/8780/1457/55207/79682/84072/9700/51652/8940/54820/114791/10426/220134/10464/9918/10982/221150/56155/983/7405/5728/11339/11011/55143/401541/81929/27030/10388/79003/9750/150465/6047/1459/55274/1642/83540/5501/55355/29128/339834/55835/10615/348995/8766/10403/4292/79172/90417/348235/9133/9319/26065/11144/51510/891/998/51143/79023/57519/3192/55781/83852/23353/29117/10734/9184/51115/440145/55920/9639/4439/80254/25879/11130/6847/25936/11004/5347/55755/79980/7756/57132/7156/57405/4438/6605/92421/56776/113130/387/605/11044/144165/84944/6602/2801/146909/292/100507650/152185/2669/54930/5901/898/2316/158401/81565/10524/23383/245711/84191/64210/2959/54069/9391/4926/29945/29893/26112/5977/254528/84101/23255/7320/4605/56647/130951/317761
GO:0000209	protein polyubiquitination	262	0.5949144833206996	1.343593787702126	1e-10	1.4834883720930233e-8	9.517747858017138e-9	11271	tags=70%, list=31%, signal=49%	257218/9354/22978/51366/64682/26191/54542/23352/25831/6872/4734/23077/80351/54778/57674/8452/1654/10075/867/7324/83737/672/4012/117584/4683/9320/57531/55016/220441/23304/7337/8658/27252/8065/151636/331/80829/23328/6049/23291/580/51514/64795/54765/9690/8450/10210/1499/64844/23219/9666/10346/200933/9870/81545/7267/143279/7189/996/7335/165918/22954/7128/10299/55884/57542/55284/8697/149041/64839/7326/7174/56254/329/9520/23321/596/84078/6502/9781/51465/51191/25948/7706/8945/92912/91947/9373/285671/3093/54941/5193/89910/63891/54708/7321/64127/4193/865/10277/9604/387921/10193/89890/85363/23220/7328/1161/6047/57162/220972/57154/23609/81790/57161/84675/117854/7323/223082/7319/80196/26263/26249/7334/81847/8767/10425/26268/1728/79102/26118/55626/80254/92369/54551/10475/8405/7336/23194/134111/8454/267/148203/51283/55905/56888/81844/23327/7681/55223/9246/54476/91445/25793/7726/11060/23608/9111/6737/5071/9025/84231/54926/7325/10758/29945/10013/7322/29089/642/27246/7320/23532/25847/6500/51433/90025/26272/23759/63893/55743/7327/84447/10393
GO:0016197	endosomal transport	292	0.592162473474787	1.339910743269666	1e-10	1.4834883720930233e-8	9.517747858017138e-9	11897	tags=70%, list=32%, signal=48%	57533/7109/9765/84162/120892/8411/57182/9495/19/157680/51479/23074/200576/9648/4645/23527/22836/23317/23325/9185/5962/1213/25938/9201/10079/51361/9043/9897/55614/7840/54497/9372/30849/6653/9581/57724/57589/1130/81624/164/50618/401548/23085/7813/84910/23426/51762/10254/58533/163486/5594/9779/11149/55773/22853/9525/84376/9182/57679/51209/23779/55737/284697/6453/55745/8027/950/64145/9827/112574/54918/1601/23023/8301/55610/22876/6272/8723/4642/8898/51552/9110/25978/51534/2060/51026/8678/23258/51542/6643/81609/23603/6293/137492/54520/10890/9527/5870/51201/27236/5289/10311/23011/64089/7874/5868/25963/8729/55207/9559/143187/51652/54741/84079/4478/65977/4218/5604/51028/400/22863/84766/9367/51429/382/9912/23673/8766/8934/150786/64400/1639/85021/10490/8674/23339/51510/51143/30845/55275/7879/404636/757/10228/51271/55353/54551/253725/9341/88/57132/7415/30844/387680/6642/57020/51375/92421/7251/84084/29934/92241/10123/57706/27131/84440/6616/392/23484/23274/7430/55823/8724/2316/5071/57554/89853/282991/8878/8218/91056/2013/51699/80852/11021/4771/8943/201475/55317/112936/65009/51560/6714/63893/23585/55048/58513/25930/537/5987/1203/51617/91782/169166/79958
GO:0000082	G1/S transition of mitotic cell cycle	256	0.593560933815665	1.3397018811519972	1e-10	1.4834883720930233e-8	9.517747858017138e-9	10111	tags=59%, list=27%, signal=43%	57695/9134/3688/9928/3624/324/144455/5934/6868/26057/6491/9113/5591/196528/5962/8462/55193/4921/8452/1654/586/472/5925/5311/163859/55904/163786/890/8065/10457/8554/91607/79577/26060/3312/5933/55159/6241/27085/23133/54619/1739/1021/6599/26058/8450/23236/6240/51339/6601/1871/26524/57492/6595/85417/6198/143384/8453/86/8289/990/1977/51322/2935/1956/901/596/8317/10106/5530/785/90/6502/7465/54617/595/10926/55198/5932/134353/1024/4193/5537/1030/983/993/10197/5728/128239/11319/8451/900/55274/835/5527/51379/10983/55835/51512/219736/91/7027/9133/10769/1981/1017/891/894/29117/79027/58480/55626/5356/1033/10385/123879/8454/10217/6605/83844/23026/1027/51692/605/1019/6347/5515/6602/4331/25959/2255/9314/10657/5310/25793/79960/9510/899/57521/898/301/5426/340152/245711/207/2146/1022/7325/8900/5977/3398
