category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
NA	NA	hsa04517	IgSF CAM signaling	182/3703	302/9500	0.6026490066225165	1.5460884587939256	7.707861753640123	2.5598550649792564e-14	8.908295626127813e-12	4.553847431384151e-12	5290/2932/10097/5062/1432/5781/8826/5908/3688/5594/5291/7189/9693/23085/23607/10096/7204/5584/8976/5170/7414/7082/5747/998/5962/6711/1499/5906/3676/4690/5599/5601/117178/8573/5604/8777/5921/25/57522/382/8832/8500/4628/387/6709/3791/3556/8829/6091/941/9414/84790/4301/51735/5792/10376/83700/2037/2885/653857/4627/8503/4008/5295/10109/3937/23426/4478/56288/8499/23380/2308/5335/9223/4155/942/140735/999/10666/288/8828/9353/219699/23136/3684/351/4067/25945/5603/5802/2036/3690/7410/4638/287/5361/7225/8506/207/3678/940/10580/5362/91807/81928/5789/79827/55243/23705/87/9901/6586/7430/81027/3742/10000/5578/6334/3786/1000/3383/92154/9788/3687/1272/5579/10451/1630/5058/4897/5818/84612/340156/3635/1525/117157/139065/5063/57823/3683/56253/10225/8633/3737/91584/9863/22999/3385/57502/114836/342035/30835/4133/201633/4685/26047/51678/145581/2260/4068/962/6712/150084/5602/23114/84631/5588/3897/6504/26280/6092/914/11141/4684/57689/3736/4916/22871/90249/253559/26050/84189	182
Cellular Processes	Transport and catabolism	hsa04140	Autophagy - animal	109/3703	169/9500	0.6449704142011834	1.6546634984907487	6.8629610527909275	1.2055106024683543e-11	1.9889317548988136e-9	1.0167255492374454e-9	57448/5290/30849/29110/23001/5594/5291/55102/55014/27072/9711/7189/3920/2475/57724/9451/440275/140775/51100/3845/9821/8887/1965/5289/8417/5170/5894/115201/5861/9110/26003/83452/7248/5599/5601/22863/6885/5604/6198/55626/23339/7879/4077/8837/84938/4218/79065/4893/3091/10533/29982/9140/5562/55578/10241/5728/10010/55255/81631/9776/203228/9474/9342/5515/10645/8678/64422/2081/7405/53349/55054/55823/64689/3708/10325/8897/8503/58476/5295/3146/55062/5516/9706/57521/5567/1612/56270/23710/1508/207/1514/10133/10000/22800/664/5580/64798/100130302/116442/58528/8878/5563/22808/3480/596/3667/5602/5588/8471	109
Cellular Processes	Cell growth and death	hsa04110	Cell cycle	103/3703	158/9500	0.6518987341772152	1.6724380163876706	6.8120059722180235	1.7145963404300118e-11	1.9889317548988136e-9	1.0167255492374454e-9	25836/546/545/2932/23063/64682/8243/10735/23244/5529/2033/23047/10274/996/114799/5527/9126/4087/8697/5591/5934/4999/472/1387/5000/7529/7532/5925/5528/5519/9134/5933/57082/25/10971/23595/4193/157570/8454/5001/4089/1871/5885/4175/7534/7029/5515/1017/7465/701/23383/26271/8555/10926/27085/9184/1875/4171/6502/7027/3066/5516/1022/8317/4085/699/1111/4173/890/7272/5525/5111/4172/4088/1019/8556/85417/4998/151648/1021/90381/990/983/891/9700/1030/1027/894/993/10403/7042/9319/9133/23594/595/494551/1870/5347/113130/995/10912/27127/898	103
Cellular Processes	Cell growth and death	hsa04218	Cellular senescence	101/3703	157/9500	0.643312101910828	1.6504091191339094	6.567611023829216	8.579819135964787e-11	7.319081730391286e-9	3.741454363085685e-9	545/5290/204851/4775/1432/23291/132660/5594/5291/10114/2475/54822/4683/3845/4087/3364/23411/5934/472/4361/5894/90550/10111/5501/5810/2309/5925/7248/4790/5532/5604/9134/5933/5928/801/7046/4893/5481/5728/4193/3710/5530/91750/1871/5500/144715/286826/1017/5534/8945/7048/3708/8503/7416/3709/4773/1875/2113/5295/28996/2308/7417/1111/890/4088/5603/5533/1019/163688/292/207/85417/10758/678/2305/824/1021/5608/83593/983/10000/891/22800/677/1030/894/993/7419/8878/3552/7042/22808/9133/595/3576/1870/5054/776/10912/898/3805	101
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	124/3703	203/9500	0.6108374384236454	1.5670957777544237	6.527504305643936	1.0515922026424263e-10	7.319081730391286e-9	3.741454363085685e-9	5290/2932/5062/6093/4659/5908/6654/3688/331/5594/394/5291/6655/3685/9475/1729/1399/329/5170/7414/5894/5747/998/5501/1499/2909/673/7094/5906/3676/1398/5599/5601/5604/8394/2321/2889/3672/3915/387/5728/55742/7057/3791/5500/2002/2335/4660/1793/7058/3673/6464/2885/8503/56034/1282/5295/2317/83660/3910/3655/3912/3611/330/3690/1293/7410/4638/8516/207/3678/91807/3680/824/3082/87/3908/5159/80310/10000/5578/22801/5156/3695/7422/2012/5579/894/10451/284217/5058/1286/340156/131873/2316/5063/3480/6696/8395/596/7450/1956/3696/1278/595/53358/3909/3694/256076/7143/3371/3381/1950/1287/2064/1299/4233/5602/1285/5923/5649/7060/3918/1288	124
Human Diseases	Cancer: overview	hsa05205	Proteoglycans in cancer	122/3703	204/9500	0.5980392156862745	1.5342620980339206	6.165034923870843	1.0005901594019063e-9	5.803422924531056e-8	2.9666620515600378e-8	5290/6093/4659/1432/5781/8826/6654/3688/5594/5291/6655/23365/2475/3685/9475/29102/867/3845/4087/836/5170/5894/5747/998/5501/5962/1499/673/6774/2549/5604/6198/7099/4893/3091/10818/387/4193/3710/1655/7057/3791/5500/10855/818/2002/2335/4660/3673/3339/1975/3708/7855/8323/2885/8503/3709/5295/4478/5335/288/7097/817/5567/7976/7074/5603/3690/7410/287/5727/355/207/3678/1514/7479/3082/960/7430/10000/5578/7078/22800/8322/4060/7474/7422/5579/10451/5058/8321/406903/5328/7042/2316/22808/7472/3480/51196/356/1634/1956/2065/1278/595/27250/3481/6383/2247/2260/7473/2064/7475/4233/7484/7124/286/2099/2719/2066/3593/4318	122
Environmental Information Processing	Signal transduction	hsa04068	FoxO signaling pathway	83/3703	133/9500	0.6240601503759399	1.6010184792253386	5.578629708498664	3.269722635565849e-8	1.6255192531098792e-6	8.309520682866593e-7	5290/1432/1147/6654/2033/6789/5594/5291/6655/7874/80854/3845/23411/5934/472/1387/5170/5894/2309/673/6774/5599/5601/10018/5604/7046/5565/4893/9140/5562/5728/4193/4089/51701/10733/3643/5571/847/9456/1017/7048/2885/8503/5295/6502/901/2308/5896/4088/23710/5603/2911/207/85417/6446/26260/51422/8743/10000/891/3586/664/1030/1027/894/10769/3575/7042/5563/114907/3480/356/9133/9455/1956/595/3667/1901/5347/10912/1950/5602/8471	83
Human Diseases	Cancer: specific types	hsa05215	Prostate cancer	69/3703	106/9500	0.6509433962264151	1.6699871088714402	5.543808895151619	4.147259876656158e-8	1.8040580463454288e-6	9.222196304669614e-7	5290/2932/1385/1147/6654/2033/5594/5291/6655/2475/3845/1387/5170/5894/1499/673/5925/4790/5604/9134/4893/3320/5728/4193/1871/64764/6935/1017/3326/2885/8503/56034/5295/2308/7184/2911/2119/207/2915/5159/80310/10000/2078/5156/6934/2346/1027/5328/113235/3480/596/1956/9586/595/7039/51176/367/1870/1950/2260/4824/2064/2263/6716/7113/898/4314/4318/354	69
Cellular Processes	Cell motility	hsa04810	Regulation of actin cytoskeleton	130/3703	232/9500	0.5603448275862069	1.4375576187061747	5.392626973577939	7.736016996002435e-8	2.9912599051209417e-6	1.5291074530110075e-6	5290/10787/324/10097/5062/6093/4659/200576/8826/10672/6654/3688/54434/5594/5291/6655/23365/3685/85464/9475/3845/10096/1729/1399/8976/7414/5894/5747/998/5501/5962/23191/2909/673/3676/1398/5604/221178/79837/8394/51571/5305/4893/3672/10152/55740/8874/10163/4628/387/5500/2335/2768/4660/1793/1730/3673/55970/653857/4627/8503/56034/5295/10109/81624/2149/1073/4478/3071/9459/8396/727/2846/3684/10788/7074/3655/3690/7410/2245/1902/4638/8516/3985/207/3678/57121/91807/3680/26999/87/624/81553/5159/80310/7430/10000/8936/22800/22801/1133/5156/3687/3695/1132/10451/5058/128239/340156/22808/5063/3683/5217/8395/1956/3696/2252/3694/7852/85477/6387/2246/1950/2247/8822/2260/2250/2263/1131/2255	130
Environmental Information Processing	Signal transduction	hsa04070	Phosphatidylinositol signaling system	64/3703	98/9500	0.6530612244897959	1.6754203706867568	5.371446060137162	1.0667606410272085e-7	3.7123270307746853e-6	1.8977110350905078e-6	5290/5286/200576/5291/8867/3631/9107/23262/54928/4534/4952/253430/8776/22908/5289/55300/9110/22876/5297/79837/8394/64768/801/8871/3632/5305/3633/8760/3612/5728/3710/8898/5287/9807/160851/3708/8897/8503/3709/5295/1040/8396/5335/8821/163688/8526/9162/1608/9677/23236/5578/8527/55529/5332/5579/3635/51196/8395/9108/55613/84812/1607/117283/5288	64
