query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
query_1,TRUE,6.799732943523179e-28,1280,4451,447,0.10042687036620984,0.34921875,GO:0022402,GO:BP,cell cycle process,21026,6561,
query_1,TRUE,7.13229530746261e-28,745,2355,196,0.08322717622080679,0.26308724832214764,GO:1903047,GO:BP,mitotic cell cycle process,21026,22408,
query_1,TRUE,1.3541785230184777e-26,892,2355,218,0.09256900212314224,0.24439461883408073,GO:0000278,GO:BP,mitotic cell cycle,21026,76,
query_1,TRUE,3.6567848420762207e-22,1663,2519,342,0.13576816196903532,0.20565243535778713,GO:0007049,GO:BP,cell cycle,21026,2636,
query_1,TRUE,8.81044139189973e-21,720,2728,193,0.07074780058651027,0.26805555555555555,GO:0010564,GO:BP,regulation of cell cycle process,21026,4200,
query_1,TRUE,2.2613704369533894e-20,427,4134,173,0.04184808901790034,0.405152224824356,GO:0007059,GO:BP,chromosome segregation,21026,2645,
query_1,TRUE,2.910962679118644e-18,234,2989,92,0.030779524924723987,0.39316239316239315,GO:0000819,GO:BP,sister chromatid segregation,21026,235,
query_1,TRUE,9.198185759547904e-18,532,2777,151,0.054375225063017646,0.28383458646616544,GO:0044770,GO:BP,cell cycle phase transition,21026,10999,
query_1,TRUE,5.065055319023389e-17,1087,2519,234,0.09289400555776102,0.21527138914443422,GO:0051726,GO:BP,regulation of cell cycle,21026,13721,
query_1,TRUE,2.7521751212229036e-16,427,2728,125,0.04582111436950147,0.2927400468384075,GO:1901987,GO:BP,regulation of cell cycle phase transition,21026,21632,
query_1,TRUE,3.390869892868559e-16,323,2893,107,0.03698582786035257,0.33126934984520123,GO:0098813,GO:BP,nuclear chromosome segregation,21026,18651,
query_1,TRUE,7.003260234979312e-16,658,2654,165,0.06217030896759608,0.2507598784194529,GO:0051301,GO:BP,cell division,21026,13450,
query_1,TRUE,8.235135686704306e-16,428,2355,113,0.04798301486199576,0.26401869158878505,GO:0044772,GO:BP,mitotic cell cycle phase transition,21026,11001,
query_1,TRUE,9.9521426396688535e-16,193,2989,77,0.02576112412177986,0.39896373056994816,GO:0000070,GO:BP,mitotic sister chromatid segregation,21026,24,
query_1,TRUE,2.0849321442529844e-15,574,2946,159,0.0539714867617108,0.2770034843205575,GO:0051276,GO:BP,chromosome organization,21026,13431,
query_1,TRUE,2.7300426658239968e-15,289,2728,94,0.0344574780058651,0.32525951557093424,GO:0010948,GO:BP,negative regulation of cell cycle process,21026,4506,
query_1,TRUE,7.675558481389302e-15,327,2505,96,0.03832335329341317,0.29357798165137616,GO:1901990,GO:BP,regulation of mitotic cell cycle phase transition,21026,21635,
query_1,TRUE,1.656605783952031e-14,132,3960,68,0.01717171717171717,0.5151515151515151,GO:0051983,GO:BP,regulation of chromosome segregation,21026,13851,
query_1,TRUE,2.2928242672494037e-14,185,2728,69,0.025293255131964808,0.372972972972973,GO:0000075,GO:BP,cell cycle checkpoint signaling,21026,26,
query_1,TRUE,2.5098533830861094e-14,282,2654,89,0.033534287867370005,0.31560283687943264,GO:0140014,GO:BP,mitotic nuclear division,21026,19372,
query_1,TRUE,7.180386895936422e-14,2433,3983,615,0.1544062264624655,0.2527743526510481,GO:0051128,GO:BP,regulation of cellular component organization,21026,13332,
query_1,TRUE,1.4338408951292878e-13,262,3960,106,0.026767676767676767,0.40458015267175573,GO:0090068,GO:BP,positive regulation of cell cycle process,21026,17759,
query_1,TRUE,3.016453061101185e-13,248,2728,81,0.02969208211143695,0.32661290322580644,GO:1901988,GO:BP,negative regulation of cell cycle phase transition,21026,21633,
query_1,TRUE,4.750958913571866e-13,492,2505,122,0.048702594810379245,0.24796747967479674,GO:0007346,GO:BP,regulation of mitotic cell cycle,21026,2841,
query_1,TRUE,5.458001028158369e-13,908,4435,292,0.06583990980834273,0.32158590308370044,GO:0006974,GO:BP,DNA damage response,21026,2590,
query_1,TRUE,9.667454654247777e-13,1830,4172,496,0.11888782358581017,0.2710382513661202,GO:0033554,GO:BP,cellular response to stress,21026,8226,
